"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"diffexpressed"
"MARCKSL1"	2982.0760613358	1.22804424681912	0.363508023662885	3.37831400375911	0.000729317504268346	0.0463361079178311	"UP"
"MCM2"	109.271836812699	0.753181898061011	0.224133349008689	3.36041870338452	0.000778244307846001	0.0481009966901013	"UP"
"MMAB"	302.178777177599	0.913032352472773	0.270838713741624	3.37112940708983	0.000748606839379781	0.0468953908824503	"UP"
"MMEL1"	10.25355228826	-2.1781979951878	0.539147635742497	-4.04007706013226	5.34336419528657e-05	0.0220972397494169	"DOWN"
"MOB3B"	631.596982417962	1.49505633157003	0.445234973195955	3.35790407666838	0.000785358618804058	0.0481481988805884	"UP"
"MOG"	2557.32967151459	2.0916413027373	0.607793844038662	3.44136638311238	0.000578784247762529	0.0430210709652246	"UP"
"MOSPD2"	315.117140159783	1.61127438029835	0.426273574872475	3.77990679056373	0.000156887079276609	0.0296695317714326	"UP"
"MRPL24"	227.872856720761	0.512518288168754	0.134931223119876	3.79836687401419	0.00014565262465347	0.0296695317714326	"UP"
"MTMR2"	614.5417762056	0.846132660550974	0.253157069065959	3.34232286569298	0.00083080362618505	0.0499910806285158	"UP"
"MYL6"	1429.87175100708	0.459607475778625	0.121564302203941	3.78077665437974	0.000156339882080558	0.0296695317714326	"UP"
"MYRF"	5346.21230660925	1.9421232649605	0.570395381301879	3.4048720039208	0.000661950723011313	0.0440075228258247	"UP"
"NENF"	402.932536137654	0.888423534835624	0.26008358775176	3.41591540825556	0.000635679906419328	0.0439193060982827	"UP"
"NFE2L3"	19.2644144117154	2.00687028498413	0.57131567961877	3.51271697343102	0.000443549683777585	0.0406901929139087	"UP"
"NFKBID"	68.9804062505158	-1.15617879858824	0.339584379270044	-3.4046878159517	0.000662397320461978	0.0440075228258247	"DOWN"
"NGFR"	179.055455143002	2.74957285046167	0.630307077949468	4.36227506663364	1.28716895226386e-05	0.0133075717360188	"UP"
"NINJ2"	160.637419493558	2.19074390504613	0.55079971065795	3.97738753789323	6.96765583205817e-05	0.0264132219833605	"UP"
"NIPAL3"	2724.9081803195	1.17081772734048	0.334671480027358	3.49840902859357	0.000468042728934353	0.0407878615693941	"UP"
"NIPAL4"	129.299311240005	2.47771953269485	0.653339433866397	3.79239244450921	0.000149202878462785	0.0296695317714326	"UP"
"NPC1"	1761.57328190204	1.65589998154352	0.437365418413785	3.7860788983936	0.000153043100272398	0.0296695317714326	"UP"
"NPIPB3"	39.1598045552	-1.35554457436945	0.26559235513995	-5.10385388786951	3.32805267354624e-07	0.00714512228250235	"DOWN"
"NR5A2"	4.59941773205313	2.41909679884381	0.678760872141628	3.5639897615357	0.000365260207685939	0.0385460590427125	"UP"
"NRIP2"	111.340374333592	1.49117267644709	0.330817782913824	4.50753482268374	6.55851693871092e-06	0.00932334173568624	"UP"
"NSMCE1"	229.218666468841	0.471494812184752	0.135438374387044	3.4812497884636	0.000499079827848304	0.0421991475256865	"UP"
"OLIG2"	1174.76565298681	1.57052079572415	0.436761509475661	3.59583150449679	0.000323357055903788	0.0374492138109121	"UP"
"OSTF1"	309.610724218439	0.792803877751169	0.219670717304842	3.60905580624557	0.000307313500518045	0.0371120195899517	"UP"
"PACC1"	342.165181976496	1.80292042573019	0.438909470290636	4.10772732822633	3.99571428429094e-05	0.0203049554509181	"UP"
"PAIP1"	302.155565191424	0.507484096899965	0.145719410134906	3.48261152327023	0.00049654834884137	0.0421991475256865	"UP"
"PAQR4"	947.421368363329	1.16821742896143	0.3319534349723	3.51922078787621	0.000432816349957248	0.0406901929139087	"UP"
"PCNA"	165.254477278829	0.887450948036618	0.239433716279987	3.70645772794529	0.000210178297531197	0.0336655308263878	"UP"
"PCSK6"	1143.54039280286	1.88046953862159	0.544841751545922	3.45140498738577	0.000557676069900874	0.0430210709652246	"UP"
"PDE1C"	1791.58145795245	1.54702748237055	0.425163359687745	3.63866604946094	0.000274053901105489	0.0362929800751843	"UP"
"PDIA3"	898.004964899144	0.418753295541745	0.114114195175349	3.66959864106551	0.000242931585644785	0.0354178814557909	"UP"
"PEPD"	577.04610619642	0.590299867236424	0.175728214461723	3.35916386019505	0.000781786962997848	0.0481481988805884	"UP"
"PHB"	518.722731442324	0.510486453587968	0.151441460338552	3.37085004626052	0.000749366356097	0.0468953908824503	"UP"
"PHLDA3"	830.605416389655	1.05385735566564	0.312676789160554	3.37043679671567	0.000750491197239477	0.0468953908824503	"UP"
"PIP4K2A"	5017.83283517109	1.77732152235525	0.521716082469717	3.40668340899461	0.000657573531503195	0.0440075228258247	"UP"
"PLCL1"	1731.37955314086	1.6213143923654	0.409965762409118	3.95475559431579	7.6612929585727e-05	0.0276855762018514	"UP"
"PLIN3"	551.571082666325	1.5773602389409	0.431772576174741	3.65322006533025	0.000258972097031533	0.035612604467791	"UP"
"PLLP"	1610.60781656556	1.92481264496296	0.523065243826337	3.67987104415987	0.000233351928453219	0.0351496000838972	"UP"
"PLP1"	38020.0234831052	2.41395482130427	0.628804635733557	3.83895837295819	0.000123557374231173	0.0289722935761652	"UP"
"PLPP2"	317.076724954591	1.76198827055507	0.517228880110785	3.40659297713165	0.000657791416789001	0.0440075228258247	"UP"
"PLPPR1"	262.1737938054	1.35914219081929	0.392083163056489	3.46646405375861	0.00052735224385906	0.0429914938586893	"UP"
"PLTP"	693.513990764967	-0.698422619699751	0.176613216665617	-3.9545320156989	7.6684603241004e-05	0.0276855762018514	"DOWN"
"POP4"	193.907117045444	0.466298205281815	0.133563488323618	3.49121014383807	0.000480837892297107	0.0415057049893826	"UP"
"POU2F2"	214.477449111692	-0.782652598588681	0.228521745373941	-3.42484955778711	0.000615139945461428	0.0439013253087316	"DOWN"
"PPIB"	694.084359225177	0.529000530252459	0.153547460354248	3.44519231403768	0.000570653230597872	0.0430210709652246	"UP"
"PRKCQ"	180.746361480469	1.52381585947379	0.444648599201071	3.42701149224744	0.00061026324215014	0.0439013253087316	"UP"
"PROX1"	697.734366236088	1.26852764724824	0.371028135058358	3.41895270839425	0.000628626509959646	0.0439193060982827	"UP"
"PRR18"	1564.02696246152	2.08065364102185	0.561091852133559	3.70822287493597	0.000208718914896628	0.0336655308263878	"UP"
"PRRG1"	482.662452365003	1.71027034834234	0.469949327939758	3.63926544131918	0.000273416853852615	0.0362929800751843	"UP"
"PSEN1"	1263.39649165572	1.16987509739015	0.342801817218271	3.41268639379836	0.00064325920154528	0.043936728345788	"UP"
"QDPR"	3229.56916680778	1.4297035283508	0.377974106381512	3.78254357696057	0.000155233905840805	0.0296695317714326	"UP"
"RAB33A"	184.133291929649	1.29731248318322	0.334150441930059	3.8824203723626	0.000103421887954504	0.0282229265553034	"UP"
"RAPGEF5"	4871.75956535775	1.12247660866362	0.29283472729816	3.8331403485514	0.000126517721778796	0.0290671270894821	"UP"
"RBP7"	47.4969122302743	2.04371605046209	0.578811292397539	3.53088489686623	0.000414171938536658	0.0401881699931595	"UP"
"RCAN3"	124.151831198572	1.46537539616443	0.373487616034641	3.92349125714656	8.72749340090441e-05	0.0282229265553034	"UP"
"REEP3"	600.232602431551	1.55219030596176	0.435444274518187	3.56461296380401	0.000364393490133382	0.0385460590427125	"UP"
"RFFL"	685.147383591426	1.43025731687756	0.388164373894158	3.68466920992486	0.000228999852150626	0.0349250880184308	"UP"
"RFWD3"	146.762965815515	0.80070611826057	0.23796907485159	3.36474862861879	0.000766134232281268	0.0476596756469839	"UP"
"RHOG"	398.861032168429	1.49615499379044	0.413465484616352	3.61857289050064	0.000296232068769026	0.0368875018314643	"UP"
